width,N,q,F,seed,s_max,s_mean,steps_to_freeze,is_frozen
30,900,2,3,338887449,1.0,1.0,5205193,True
30,900,2,3,338625300,1.0,1.0,3570786,True
30,900,2,3,338690837,1.0,1.0,4902236,True
30,900,2,3,338821913,1.0,1.0,9710363,True
30,900,2,3,338887448,1.0,1.0,2981994,True
30,900,2,3,338821911,1.0,1.0,5373093,True
30,900,2,3,338756374,1.0,1.0,6287712,True
30,900,2,3,338952985,1.0,1.0,2987223,True
30,900,2,3,339018522,1.0,1.0,3580603,True
30,900,2,3,339084059,1.0,1.0,4289113,True
30,900,2,3,339084058,1.0,1.0,2673874,True
30,900,2,3,338821910,1.0,1.0,2809208,True
30,900,2,3,338952984,1.0,1.0,3057997,True
30,900,2,3,338625299,1.0,1.0,2199740,True
30,900,2,3,338756373,1.0,1.0,4836483,True
40,1600,2,3,287048416,1.0,1.0,5725698,True
40,1600,2,3,287113953,1.0,1.0,8989627,True
40,1600,2,3,287310564,1.0,1.0,9801895,True
30,900,2,3,338690836,1.0,1.0,5352611,True
30,900,2,3,339018521,1.0,1.0,6778265,True
30,900,2,3,338887447,1.0,1.0,5151546,True
40,1600,2,3,287245027,1.0,1.0,19480004,True
40,1600,2,3,287376101,1.0,1.0,14962372,True
40,1600,2,3,338035469,1.0,1.0,11749489,True
40,1600,2,3,338166543,1.0,1.0,6146239,True
40,1600,2,3,287179490,1.0,1.0,25594022,True
40,1600,2,3,338363154,1.0,1.0,7054135,True
30,900,2,3,338887446,1.0,1.0,3278315,True
30,900,2,3,338821909,1.0,1.0,1747563,True
30,900,2,3,339084057,1.0,1.0,1195683,True
40,1600,2,3,338101006,1.0,1.0,17436640,True
30,900,2,3,339149594,1.0,1.0,1490361,True
40,1600,2,3,338494228,1.0,1.0,7592374,True
30,900,2,3,338756372,1.0,1.0,2208282,True
30,900,2,3,339149595,1.0,1.0,3310933,True
30,900,2,3,338952983,1.0,1.0,3689037,True
30,900,2,3,339215132,1.0,1.0,3878838,True
40,1600,2,3,338232080,1.0,1.0,13203619,True
30,900,2,3,339018520,1.0,1.0,5240212,True
40,1600,2,3,338428691,1.0,1.0,11885957,True
40,1600,2,3,338428690,1.0,1.0,4703044,True
30,900,2,3,339280668,1.0,1.0,5296680,True
40,1600,2,3,338363153,1.0,1.0,6409470,True
30,900,2,3,339346205,1.0,1.0,6977524,True
40,1600,2,3,338756375,1.0,1.0,5260609,True
40,1600,2,3,338297616,1.0,1.0,8516972,True
40,1600,2,3,286917342,1.0,1.0,8263090,True
40,1600,2,3,338559765,1.0,1.0,15459209,True
40,1600,2,3,338625302,1.0,1.0,11710452,True
40,1600,2,3,338297615,1.0,1.0,6960680,True
40,1600,2,3,338297617,1.0,1.0,18967591,True
30,900,2,3,339215131,1.0,1.0,5905367,True
40,1600,2,3,338494227,1.0,1.0,10403200,True
40,1600,2,3,338232079,1.0,1.0,11396347,True
40,1600,2,3,338625301,1.0,1.0,9972734,True
40,1600,2,3,338559764,1.0,1.0,13417154,True
40,1600,2,3,286786268,1.0,1.0,6300753,True
40,1600,2,3,338166542,1.0,1.0,15710406,True
40,1600,2,3,338690837,1.0,1.0,8814820,True
40,1600,2,3,338494226,1.0,1.0,11100048,True
40,1600,2,3,338559763,1.0,1.0,10748547,True
40,1600,2,3,338428688,1.0,1.0,7223692,True
40,1600,2,3,338821911,1.0,1.0,9390414,True
40,1600,2,3,338952984,1.0,1.0,6009009,True
40,1600,2,3,338887447,1.0,1.0,7356454,True
40,1600,2,3,338428689,1.0,1.0,14996030,True
40,1600,2,3,286851805,1.0,1.0,12947911,True
40,1600,2,3,338363152,1.0,1.0,15575349,True
40,1600,2,3,338821910,1.0,1.0,9657528,True
40,1600,2,3,338625300,1.0,1.0,15405671,True
40,1600,2,3,339018521,1.0,1.0,7887771,True
40,1600,2,3,338756374,1.0,1.0,14479370,True
40,1600,2,3,338559762,1.0,1.0,12662645,True
40,1600,2,3,338887446,1.0,1.0,5901541,True
40,1600,2,3,338559761,1.0,1.0,8311825,True
