L,q,F,h,T,m,s_max,s_mean,steps_to_const,is_constant,avg_mobility
10,20,3,0.5,0.7,8,0.28,0.09090909090909091,1050001,True,0.01999999999998761
10,20,3,0.5,0.7,9,0.1,0.07142857142857144,1000001,True,0.0
10,20,3,0.5,0.7,10,0.24,0.09090909090909091,1050001,True,0.04008479999997515
40,10,3,0.5,0.3,7,0.9825,0.14285714285714288,1000001,True,0.0
40,10,3,0.5,0.3,9,0.30875,0.05555555555555555,1000001,True,0.0
40,10,3,0.5,0.3,8,0.15625,0.030303030303030304,1000001,True,0.0
20,20,3,0.05,0.3,2,1.0,1.0,1000001,True,0.0
20,20,3,0.05,0.3,1,0.9868421052631579,0.2,1050001,True,0.012603368421051708
20,20,3,0.05,0.3,4,0.9947368421052631,0.5,1000001,True,0.0
20,20,3,0.05,0.3,5,0.9921052631578947,0.5,1000001,True,0.0
20,20,3,0.05,0.3,3,0.9815789473684211,0.33333333333333337,1050001,True,0.00790010526315695
40,10,3,0.5,0.3,10,0.2575,0.052631578947368425,1000001,True,0.0
20,20,3,0.05,0.3,8,1.0,1.0,1000001,True,0.0
20,20,3,0.05,0.3,9,0.9894736842105263,0.33333333333333337,1000001,True,0.0
40,10,3,0.5,0.7,1,0.0275,0.00704225352112676,1000001,True,0.0
40,10,3,0.5,0.7,3,0.07,0.00684931506849315,1000001,True,0.0
20,20,3,0.05,0.3,6,0.9815789473684211,0.2,1050001,True,0.015933631578945298
40,10,3,0.5,0.7,4,0.04875,0.0072992700729927005,1000001,True,0.0
40,10,3,0.5,0.7,2,0.04125,0.006410256410256411,1000001,True,0.0
20,20,3,0.05,0.3,7,0.9973684210526316,0.5,1050001,True,0.0028701578947370695
40,10,3,0.5,0.7,5,0.04,0.006622516556291392,1000001,True,0.0
20,20,3,0.05,0.3,10,0.9868421052631579,0.2,1050001,True,0.01333947368420911
20,20,3,0.05,0.7,1,0.5052631578947369,0.09090909090909091,1050001,True,0.005406157894738671
40,10,3,0.5,0.7,7,0.02875,0.006410256410256411,1000001,True,0.0
20,20,3,0.05,0.7,2,0.8342105263157895,0.16666666666666669,1050001,True,0.007894736842104124
40,10,3,0.5,0.7,6,0.04625,0.0076335877862595426,1000001,True,0.0
40,10,3,0.5,0.7,9,0.03125,0.006172839506172839,1000001,True,0.0
40,10,3,0.5,0.7,10,0.02625,0.006410256410256411,1000001,True,0.0
