C,F,L,N,alpha,converged,degree_variance,dev_mode,dev_param,dis_threshold,elapsed_s,final_rewire_rate,k,max_steps,mean_dissatisfaction,num_clusters,p,q,s_max,seed,total_steps,trial_id,weight_mode
0.11460842293906813,5,3.386772708246128,150,2.0,False,15.610488888888892,2,0.15,0.5,1.7847678999823984,-1.0,4,5000000,0.004524782483869736,43,0.05,10,0.5866666666666667,42,5000000,a9bde448f7cf,3
0.2770476190476192,5,4.679642058165548,150,2.0,False,0.84,3,0.15,0.5,1.879806999990251,-1.0,4,5000000,0.0,1,0.05,10,1.0,42,5000000,ee3c2d5f2bf8,3
0.1829755489917876,5,2.8181818181818183,150,2.0,False,45.535288888888914,0,0.15,0.7,1.8705186999868602,-1.0,4,5000000,0.1391085982322693,41,0.05,10,0.7333333333333333,42,5000000,b402e90e2428,0
0.08800778289810546,5,3.62510483645513,150,2.0,False,16.271822222222227,2,0.15,0.7,1.9713379000022542,-1.0,4,5000000,0.08482945794294305,6,0.05,10,0.9666666666666667,42,5000000,4de25a636861,0
0.19643693507815435,5,2.86890756302521,150,2.0,False,38.969955555555586,3,0.15,0.7,1.8162299999967217,-1.0,4,5000000,0.1542611593053541,31,0.05,10,0.8,42,5000000,ec8adfec6389,0
0.33000000000000024,5,5.0847427293064875,150,2.0,False,0.5466666666666666,0,0.15,0.7,1.9388026000233367,-1.0,4,5000000,0.026877211941613476,1,0.05,10,1.0,42,5000000,fab14ac3084d,2
0.038015221337801976,5,3.716297390448055,150,2.0,False,9.422933333333328,2,0.15,0.7,2.0133481999801006,-1.0,4,5000000,0.12119271908074493,11,0.05,10,0.82,42,5000000,28c266b0b2e1,2
0.3015555555555556,5,4.857897091722595,150,2.0,False,0.7066666666666667,3,0.15,0.7,1.895802699989872,-1.0,4,5000000,0.028148103790236925,1,0.05,10,1.0,42,5000000,bb9b1be317ff,2
0.42888888888888893,5,7.0090380313199105,150,2.0,False,0.21333333333333335,0,0.15,0.7,1.8904805000056513,-1.0,4,5000000,0.0,1,0.05,10,1.0,42,5000000,a82703fe4c18,3
0.04864435824666002,5,3.535008162524941,150,2.0,False,8.76,2,0.15,0.7,2.0324580000014976,-1.0,4,5000000,0.0,2,0.05,10,0.9933333333333333,42,5000000,306d934e32a5,3
